metro_area_city,median_listing_price,active_listing_count,median_days_on_market,new_listing_count,price_increased_count,price_reduced_count,pending_listing_count,average_listing_price,total_listing_count,year
"clewiston, fl",243570.1964,112.75,87.95833333,28.66666667,0.666666667,21.66666667,34.83333333,381294.3249,147.5833333,2019
"clinton, ia",85583.33334,269.5,93.625,62,0.666666667,46,97.75,116858.3114,367.25,2019
"clovis, nm",174665.4762,266.25,82.79166667,59,0.333333333,44,53.83333333,188980.59,320.0833333,2019
"coeur d'alene, id",453811.25,996.6666667,62.95833333,366.3333333,31.33333333,212.6666667,257.6666667,727573.2147,1254.333333,2019
"coffeyville, ks",70670.83333,253.3333333,103.0416667,47,1,34.66666667,16.83333333,116331.8782,270.1666667,2019
"coldwater, mi",147742.8572,155.1666667,72.875,45.66666667,0,37.33333333,27.08333333,214372.9741,182.25,2019
"college station-bryan, tx",268220.2381,1414.916667,76.29166667,380.6666667,9.333333333,300,409.3333333,361640.2804,1824.25,2019
"colorado springs, co",423329.2857,2107.416667,42.25,1336.666667,102.6666667,787.3333333,1368.833333,543251.0664,3476.25,2019
"columbia, mo",249236.3095,750.6666667,64.16666667,237,3.666666667,192.3333333,16.83333333,303025.8209,767.5,2019
"columbia, sc",232343.1071,3026.583333,60.08333333,1122.333333,114,843,28.91666667,279025.4076,3055.5,2019
"columbus, ga-al",182341.6667,1347.833333,88.08333333,372.6666667,18.66666667,233.3333333,47.58333333,254829.4308,1395.416667,2019
"columbus, in",282702.2798,185.75,63.83333333,75,1,54.33333333,114,345535.9325,299.75,2019
"columbus, ms",172658.3333,212.75,91,49.33333333,0.666666667,40.33333333,11.41666667,224066.2689,224.1666667,2019
"columbus, ne",230090.4762,74.41666667,57.08333333,27.33333333,0,16.33333333,0.416666667,255896.3412,74.83333333,2019
"columbus, oh",288182.7381,3827.916667,50.375,2204.666667,64,1643.666667,2895.25,363495.8707,6723.166667,2019
"concord, nh",314115.9881,440.5,64.625,196.3333333,4.333333333,101.6666667,234.75,393469.7592,675.25,2019
"connersville, in",69464.28571,99.41666667,71,29,0,20,7.083333333,96704.40059,106.5,2019
"cookeville, tn",250292.8571,555.5833333,78.58333333,145.6666667,2.333333333,114,64.83333333,309792.552,620.4166667,2019
"coos bay, or",294260.6726,271.25,73.45833333,83,4,74.66666667,24.33333333,388454.5729,295.5833333,2019
"cordele, ga",211645.1964,96.08333333,154.625,13.66666667,0,12,14.91666667,254912.8253,111,2019
"corinth, ms",177864.881,103.0833333,97.54166667,23.66666667,0,14,6.666666667,196964.3353,109.75,2019
"cornelia, ga",311729.7202,305.6666667,83.83333333,73.33333333,0.666666667,45,88.83333333,647495.6588,394.5,2019
"corning, ny",145544.6429,375.3333333,78.5,97.66666667,1,80.33333333,95.41666667,219430.6041,470.75,2019
"corpus christi, tx",257984.5238,2560.25,84.375,633.3333333,38.33333333,531,795.0833333,347562.796,3355.333333,2019
"corsicana, tx",200882.1429,116,69.45833333,43.33333333,0,31,53.41666667,285082.3891,169.4166667,2019
"cortland, ny",131205.3571,204.5,102.8333333,47.66666667,0,32,49.75,176741.5024,254.25,2019
"corvallis, or",461213.6905,179.75,62.375,80.33333333,3.666666667,40.33333333,71.75,601878.4806,251.5,2019
"coshocton, oh",103708.9286,94.33333333,69.625,29,0,26,40.83333333,162756.6415,135.1666667,2019
"craig, co",197839.2857,121.5,130.875,27,0,16.33333333,24.25,267636.5485,145.75,2019
