,metro_area/city,Per Capita Income,Pop
378,"houston-the woodlands-sugar land, tx",46662,850858
379,"hudson, ny",25033,6072
380,"huntingdon, pa",21146,6937
381,"huntington, in",21866,17138
382,"huntington-ashland, wv-ky-oh",22824,32628
383,"huntsville, al",35634,200574
384,"huntsville, tx",15065,42241
385,"huron, sd",24253,13380
386,"hutchinson, ks",26472,40383
387,"hutchinson, mn",35834,13983
388,"idaho falls, id",28520,62888
389,"indiana, pa",16396,13167
390,"indianapolis-carmel-anderson, in",37117,344072
391,"indianola, ms",16911,9037
392,"ionia, mi",15624,11168
393,"iowa city, ia",29284,75130
394,"iron mountain, mi-wi",25997,7309
395,"ithaca, ny",22600,30837
396,"jackson, mi",19986,32440
397,"jackson, ms",21906,160628
398,"jackson, oh",23201,6230
399,"jackson, tn",25595,67191
400,"jackson, wy-id",40192,10559
401,"jacksonville, fl",30064,911507
402,"jacksonville, il",23517,18603
403,"jacksonville, nc",23092,72436
404,"jacksonville, tx",18800,14815
405,"jamestown, nd",28980,15084
406,"jamestown-dunkirk-fredonia, ny",23040,17039
407,"janesville-beloit, wi",25908,50750
408,"jasper, in",33693,15724
409,"jefferson city, mo",28073,42708
410,"jefferson, ga",30462,12032
411,"jesup, ga",19317,9841
412,"johnson city, tn",30939,66906
413,"johnstown, pa",16684,19195
414,"jonesboro, ar",26813,78394
415,"joplin, mo",26448,50925
416,"junction city, ks",25035,21482
417,"juneau, ak",43680,31974
418,"kahului-wailuku-lahaina, hi",29352,17784
419,"kalamazoo-portage, mi",29776,62822
420,"kalispell, mt",26865,24565
421,"kankakee, il",20347,26024
422,"kansas city, mo-ks",27146,324143
423,"kapaa, hi",33995,10699
424,"kearney, ne",30014,33867
425,"keene, nh",30993,22786
426,"kendallville, in",22813,9894
427,"kennett, mo",25248,10094
428,"kennewick-richland, wa",33915,71286
429,"kerrville, tx",29685,23754
430,"ketchikan, ak",34590,8284
431,"key west, fl",44387,24118
432,"kill devil hills, nc",30885,7333
433,"killeen-temple, tx",25437,115052
434,"kingsport-bristol-bristol, tn-va",26307,32625
435,"kingston, ny",27716,22793
436,"kingsville, tx",22011,25315
437,"kinston, nc",26578,20041
438,"kirksville, mo",19351,17602
